,paragraph_number,paragraph
1695,1696,"V ⊤V = VV ⊤= I. Here, the elements on the diagonal of D are the eigenvalues of"
1696,1697,A and the columns of V are the corresponding eigenvectors. We assume without the matrix U whose columns are the n eigenvectors of A corresponding to the largest n eigenvalues.
1697,1698,"Let x1, . . . , xm be arbitrary vectors in Rd, let A = Pm and let u1, . . . , un be n eigenvectors of the matrix A corresponding to the largest n eigenvalues of A. Then, the solution to the PCA optimization problem given with orthonormal columns and let B = V ⊤U. Then, VB = VV ⊤U = U. It"
1698,1699,"U ⊤AU = B⊤V ⊤VDV ⊤VB = B⊤DB,"
1699,1700,"Note that B⊤B = U ⊤VV ⊤U = U ⊤U = I. Therefore, the columns of B are also orthonormal, which implies that Pd"
1700,1701,"Rd,d be a matrix such that its ﬁrst n columns are the columns of B and in addition ˜B⊤˜B = I. Then, for every j we have Pd"
1701,1702,Dimensionality Reduction thonormal columns it holds that trace(U ⊤AU) ≤Pn if we set U to be the matrix whose columns are the n leading eigenvectors of A we obtain that trace(U ⊤AU) = Pn
1702,1703,It is a common practice to “center” the examples before applying
1703,1704,"PCA. That is, we ﬁrst calculate µ = vectors (x1 −µ), . . . , (xm −µ). This is also related to the interpretation of PCA"
1704,1705,A More Eﬃcient Solution for the Case d ≫m
1705,1706,In some situations the original dimensionality of the data is much larger than the number of examples m. The computational complexity of calculating the
1706,1707,PCA solution as described previously is O(d3) (for calculating eigenvalues of A) plus O(md2) (for constructing the matrix A). We now show a simple trick that enables us to calculate the PCA solution more eﬃciently when d ≫m.
1707,1708,"Recall that the matrix A is deﬁned to be Pm i . It is convenient to rewrite ⟨xi, xj⟩. Suppose that u is an eigenvector of B: That is, Bu = λu for some λ ∈R. Multiplying the equality by X⊤and using the deﬁnition of B we obtain"
1708,1709,"X⊤XX⊤u = λX⊤u. But, using the deﬁnition of A, we get that A(X⊤u) ="
1709,1710,We can therefore calculate the PCA solution by calculating the eigenvalues of
1710,1711,B instead of A. The complexity is O(m3) (for calculating eigenvalues of B) and m2d (for constructing the matrix B).
1711,1712,The previous discussion also implies that to calculate the PCA solution we only need to know how to calculate inner products between vectors.
1712,1713,"This enables us to calculate PCA implicitly even when d is very large (or even inﬁnite) using kernels, which yields the kernel PCA algorithm."
1713,1714,Implementation and Demonstration
1714,1715,A pseudocode of PCA is given in the following. dimensionality reduction to R1 using PCA (red circles). number of components n
1715,1716,"Let u1, . . . , un be the eigenvectors of A with largest eigenvalues"
1716,1717,"Let v1, . . . , vn be the eigenvectors of B with largest eigenvalues output: u1, . . . , un"
1717,1718,"To illustrate how PCA works, let us generate vectors in R2 that approximately reside on a line, namely, on a one dimensional subspace of R2. For example, suppose that each example is of the form (x, x + y) where x is chosen uniformly eigenvector corresponding to the largest eigenvalue will be close to the vector"
1718,1719,"Next, we demonstrate the eﬀectiveness of PCA on a data set of faces. We extracted images of faces from the Yale data set (Georghiades, Belhumeur & dimensionality is very high."
1719,1720,Dimensionality Reduction reconstruction. Middle row: an enlarged version of one of the images before and after
1720,1721,PCA. Bottom: The images after dimensionality reduction to R2. The diﬀerent marks indicate diﬀerent individuals.
1721,1722,"In this section we show that reducing the dimension by using a random linear transformation leads to a simple compression scheme with a surprisingly low referred to as a random projection. In particular, we provide a variant of a famous lemma due to Johnson and Lindenstrauss, showing that random projections do not distort Euclidean distances too much."
1722,1723,"Let x1, x2 be two vectors in Rd. A matrix W does not distort too much the distance between x1 and x2 if the ratio the transformation are almost the same. To show that ∥Wx1 −Wx2∥is not too far away from ∥x1 −x2∥it suﬃces to show that W does not distort the norm of the diﬀerence vector x = x1 −x2. Therefore, from now on we focus on the ratio"
1723,1724,We start with analyzing the distortion caused by applying a random projection equivalent inequality is
1724,1725,"Let wi be the ith row of W. The random variable ⟨wi, x⟩is a weighted sum of d independent normal random variables and therefore it is normally distributed with zero mean and variance P n distribution. The claim now follows directly from a measure concentration property of χ2 random variables stated in"
1725,1726,Let Q be a ﬁnite set of vectors
1726,1727,"Dimensionality Reduction such that each element of W is distributed normally with zero mean and variance dimension of x. In fact, the bound holds even if x is in an inﬁnite dimensional"
1727,1728,"Compressed sensing is a dimensionality reduction technique which utilizes a prior thermore, this compression is lossless – we can reconstruct x exactly from the s (index,value) pairs. Now, lets take one step forward and assume that x = Uα, ural vectors are (at least approximately) sparse in some representation. In fact, this assumption underlies many modern compression schemes. For example, the are approximately sparse in a wavelet basis."
1728,1729,"Can we still compress x into roughly s numbers? Well, one simple way to do this is to multiply x by U ⊤, which yields the sparse vector α, and then represent α by its s (index,value) pairs. However, this requires us ﬁrst to “sense” x, to store it, and then to multiply it by U ⊤. This raises a very natural question: Why go to so much eﬀort to acquire all the data when most of what we get will be thrown away? Cannot we just directly measure the part that will not end up presses the data. The key result is that a random linear transformation can compress x without losing information. The number of measurements needed is order of s log(d). That is, we roughly acquire only the important information about the signal. As we will see later, the price we pay is a slower reconstruction phase. In some situations, it makes sense to save time in compression even at the price of a slower reconstruction. For example, a security camera should sense and compress a large amount of images while most of the time we do not need to decode the compressed data at all. Furthermore, in many practical applications, formed eﬃciently in hardware. For example, a team led by Baraniuk and Kelly has proposed a camera architecture that employs a digital micromirror array to perform optical calculations of a linear transformation of an image. In this case, obtaining each compressed measurement is as easy as obtaining a single raw measurement. Another important application of compressed sensing is medical imaging, in which requiring fewer measurements translates to less radiation for stricted Isoperimetric Property (RIP). A matrix that satisﬁes this property is guaranteed to have a low distortion of the norm of any sparse representable is greater than an order of s log(d)."
1729,1730,"The ﬁrst theorem establishes that RIP matrices yield a lossless compression scheme for sparse vectors. It also provides a (noneﬃcient) reconstruction scheme. be a reconstructed vector. Then, ˜x = x."
1730,1731,Dimensionality Reduction
1731,1732,"We assume, by way of contradiction, that ˜x ̸= x. Since x satisﬁes the constraints in the optimization problem that deﬁnes ˜x we clearly have that which leads to a contradiction. because we need to minimize a combinatorial objective (the sparsity of v). Quite can be solved eﬃciently. This is stated formally in the following theorem."
1732,1733,"In fact, we will prove a stronger result, which holds even if x is not a sparse arbitrary vector and denote"
1733,1734,"That is, xs is the vector which equals x on the s largest elements of x and equals be the reconstructed vector. Then,"
1734,1735,"Note that in the special case that x = xs we get an exact recovery, x⋆= x, so likely to be RIP. In fact, the theorem shows that multiplying a random matrix by an orthonormal matrix also provides an RIP matrix. This is important for compressing signals of the form x = Uα where x is not sparse but α is sparse."
1735,1736,"In that case, if W is a random matrix and we compress using y = Wx then this is the same as compressing α by y = (WU)α and since WU is also RIP we can reconstruct α (and thus also x) from y."
1736,1737,Let h = x⋆−x. Given a vector v and a set of indices I we denote by vI the the partition as follows. In T0 we put the s indices corresponding to the s largest elements in absolute values of x (ties are broken arbitrarily). Let T c
1737,1738,"Next, T1 will be the s indices corresponding to the s largest elements in absolute the s largest elements in absolute value of hT c"
1738,1739,"To prove the theorem we ﬁrst need the following lemma, which shows that"
1739,1740,RIP also implies approximate orthogonality.
1740,1741,"I, J, both of size at most s, and for any vector u we have that ⟨WuI, WuJ⟩≤"
1741,1742,"We are now ready to prove the theorem. Clearly,"
1742,1743,To prove the theorem we will show the following two claims:
1743,1744,Dimensionality Reduction and this will conclude our proof.
1744,1745,To prove this claim we do not use the RIP condition at all but only use the fact
1745,1746,"Next, we show that ∥hT c"
1746,1747,"For the second claim we use the RIP condition to get that ⟨WhT0 + WhT1, WhTj⟩."
1747,1748,Rearranging the inequality gives which concludes the proof of the second claim. lemma with a simple covering argument.
1748,1749,We start with a covering property of the unit ball.
1749,1750,"Let k be an integer and let ℓ2 ball of Rd. Since the points in Q′ are distributed evenly on the unit ℓ∞ball, the size of Q is the size of Q′ times the ratio between the volumes of the unit ℓ2"
1750,1751,"For simplicity, assume that d is even and therefore"
1751,1752,Dimensionality Reduction where in the last inequality we used Stirling’s approximation. Overall we obtained
1752,1753,Let U be an orthonormal d × d matrix and let I ⊂[d] be a set
1753,1754,"But since U is orthogonal we also have that the condition given in the lemma, the following holds with probability of at least"
1754,1755,This also implies that
1755,1756,Let a be the smallest number such that
1756,1757,But the deﬁnition of a implies that
1757,1758,Dimensionality Reduction
1758,1759,PCA or Compressed Sensing?
1759,1760,"Suppose we would like to apply a dimensionality reduction technique to a given set of examples. Which method should we use, PCA or compressed sensing? In this section we tackle this question, by underscoring the underlying assumptions behind the two methods. fect recovery. PCA guarantees perfect recovery whenever the set of examples is contained in an n dimensional subspace of Rd. Compressed sensing guarantees perfect recovery whenever the set of examples is sparse (in some basis). On the basis of these observations, we can describe cases in which PCA will be better than compressed sensing and vice versa."
1760,1761,"As a ﬁrst example, suppose that the examples are the vectors of the standard will lead to poor performance, since the data is far from being in an n dimensional subspace, as long as n < d. Indeed, it is easy ro verify that in such a case, the"
1761,1762,"We next show a case where PCA is better than compressed sensing. Consider m examples that are exactly on an n dimensional subspace. Clearly, in such a case, PCA will lead to perfect recovery. As to compressed sensing, note that the subspace. Therefore, compressed sensing would also work if we will reduce the dimension to Ω(n log(d)). However, with exactly n dimensions, compressed sensing might fail. PCA has also better resilience to certain types of noise. See mations: PCA and random projections. We have shown that PCA is optimal in tion procedure to be linear as well. However, if we allow nonlinear reconstruction, dom projections can signiﬁcantly outperform PCA. This fact is at the heart of the compressed sensing method."
1762,1763,"Bibliographic Remarks position (SVD). The SVD method is described in Appendix C. SVD dates back sides PCA and SVD, there are additional names that refer to the same idea and"
1763,1764,"Young theorem (after Carl Eckart and Gale Young who analyzed the method in compression scheme is impossible. increase βi, while possibly decreasing βj for some j > i, and obtain a better ing nonlinear dimensionality reduction on the basis of the kernel trick (see"
1764,1765,"Let X be some instance space and let S = {x1, . . . , xm} be a set of points (possibly of inﬁnite dimension). Let K : X × X be a kernel function, that is, k(x, x′) = ⟨ψ(x), ψ(x′)⟩. Kernel PCA is the process of mapping the elements in S into V using ψ, and then applying PCA over {ψ(x1), . . . , ψ(xm)} into"
1765,1766,Rn. The output of this process is the set of reduced elements.
1766,1767,"Show how this process can be done in polynomial time in terms of m stant time. In particular, if your implementation requires multiplication of two matrices A and B, verify that their product can be computed. Similarly,"
1767,1768,"Dimensionality Reduction if an eigenvalue decomposition of some matrix C is required, verify that this decomposition can be computed."
1768,1769,"Let x1, . . . , xm be m vectors in Rd, and let x be a random vector distributed random variable ⟨w, x⟩has maximal variance. That is, we would like to"
1769,1770,"Var[⟨w, x⟩] = argmax"
1770,1771,"Show that the solution of the problem is to set w to be the ﬁrst principle vector of x1, . . . , xm. mizes the variance of ⟨w2, x⟩, but is also uncorrelated to ⟨w1, x⟩. That is, we would like to solve:"
1771,1772,"Show that the solution to this problem is to set w to be the second principal component of x1, . . . , xm."
1772,1773,"E[(⟨w1, x⟩)(⟨w, x⟩)] = w⊤ i . Since w is an eigenvector of A we have that the lemma tells us that a random projection preserves distances between a ﬁnite set of vectors. In this exercise you need to prove that if the set of vectors are within the unit ball, then not only are the distances between any two vectors preserved, but the inner product is also preserved. that these vectors are linearly separable with margin of γ. Assume that"
1773,1774,"We started this book with a distribution free learning framework; namely, we did not impose any assumptions on the underlying distribution over the data."
1774,1775,"Furthermore, we followed a discriminative approach in which our goal is not to learn the underlying distribution but rather to learn an accurate predictor. In this chapter we describe a generative approach, in which it is assumed that the underlying distribution over the data has a speciﬁc parametric form and our goal is to estimate the parameters of the model. This task is called parametric density"
1775,1776,The discriminative approach has the advantage of directly optimizing the ing distribution. This was phrased as follows by Vladimir Vapnik in his principle for solving problems using a restricted amount of information:
1776,1777,"When solving a given problem, try to avoid a more general problem as an intermediate"
1777,1778,"Of course, if we succeed in learning the underlying distribution accurately, we are considered to be “experts” in the sense that we can predict by using the Bayes optimal classiﬁer. The problem is that it is usually more diﬃcult to learn the underlying distribution than to learn an accurate predictor. However, in some situations, it is reasonable to adopt the generative learning approach."
1778,1779,"For example, sometimes it is easier (computationally) to estimate the parameters of the model than to learn a discriminative predictor. Additionally, in some cases we do not have a speciﬁc task at hand but rather would like to model the data either for making predictions at a later time without having to retrain a predictor or for the sake of interpretability of the data."
1779,1780,"We start with a popular statistical method for estimating the parameters of the data, which is called the maximum likelihood principle. Next, we describe two scribe the EM algorithm for calculating the maximum likelihood in the presence of latent variables. We conclude with a brief description of Bayesian reasoning."
1780,1781,Personal use only. Not for distribution. Do not post.
1781,1782,Maximum Likelihood Estimator
1782,1783,"Let us start with a simple example. A drug company developed a new drug to treat some deadly disease. We would like to estimate the probability of survival when using the drug. To do so, the drug company sampled a training set of m people and gave them the drug. Let S = (x1, . . . , xm) denote the training set, the probability of survival. the average of m i.i.d. binary random variables we can use Hoeﬀding’s inequality formally explain now. We ﬁrst write the probability of generating the sample S:"
1783,1784,"P[S = (x1, . . . , xm)] ="
1784,1785,"Maximum Likelihood Estimation for Continuous Random Variables overcome this technical problem we deﬁne the likelihood as log of the density of the probability of X at x. That is, given an i.i.d. training set S = (x1, . . . , xm)"
1785,1786,"As an example, consider a Gaussian random variable, for which the density"
1786,1787,We can rewrite the likelihood as
1787,1788,Solving the preceding equations we obtain the maximum likelihood estimates:
1788,1789,Note that the maximum likelihood estimate is not always an unbiased estimator.
1789,1790,"For example, while ˆµ is unbiased, it is possible to show that the estimate ˆσ of"
1790,1791,Simplifying Notation
1791,1792,"To simplify our notation, we use P[X = x] in this chapter to describe both the probability that X = x (for discrete random variables) and the density of the distribution at x (for continuous variables)."
1792,1793,Maximum Likelihood and Empirical Risk Minimization
1793,1794,The maximum likelihood estimator shares some similarity with the Empirical
1794,1795,"Risk Minimization (ERM) principle, which we studied extensively in previous chapters. Recall that in the ERM principle we have a hypothesis class H and empirical risk. We now show that the maximum likelihood estimator is an ERM for a particular loss function. likelihood principle is equivalent to minimizing the empirical risk with respect tion. The relative entropy is a divergence measure between two probabilities. sumption aﬀects our density estimation, even in the limit of inﬁnite data. It shows that if the underlying distribution is indeed of a parametric form, then by bution. However, if the distribution is not of the assumed parametric form, even the best parameter leads to an inferior model and the suboptimality is measured by the relative entropy divergence."
1795,1796,Generalization Analysis
1796,1797,"How good is the maximum likelihood estimator when we learn from a ﬁnite mated solution of the density estimation problem. Unlike discriminative learning, where there is a clear notion of “loss,” in generative learning there are various ways to deﬁne the loss of a model. On the basis of the previous subsection, one"
1797,1798,"In some situations, it is easy to prove that the maximum likelihood principle guarantees low true risk as well. For example, consider the problem of estimating the mean of a Gaussian variable of unit variance. We saw previously that the i xi. Let µ⋆be the optimal"
1798,1799,"Next, we note that ˆµ is the average of m Gaussian variables and therefore it is also distributed normally with mean µ⋆and variance σ⋆/m. From this fact we"
1799,1800,"In some situations, the maximum likelihood estimator clearly overﬁts. For we saw previously, using Hoeﬀding’s inequality we can easily derive a guarantee"
1800,1801,This simple example shows that we should be careful in applying the maximum likelihood principle. viously in the book. A simple regularization technique is outlined in Exercise sumptions and parameter estimations simplify the learning process. Consider optimal classiﬁer is
1801,1802,"To describe the probability function P[Y = y|X = x] we need 2d parameters,"
1802,1803,This implies that the number of examples we need grows exponentially with the
1803,1804,"In the Naive Bayes approach we make the (rather naive) generative assumption that given the label, the features are independent of each other. That is,"
1804,1805,"With this assumption and using Bayes’ rule, the Bayes optimal classiﬁer can be"
1805,1806,P[Y = y]P[X = x|Y = y]
1806,1807,"Here, the generative assumption we made reduced signiﬁcantly the number of parameters we need to learn. ple, the resulting classiﬁer is called the Naive Bayes classiﬁer."
1807,1808,Linear Discriminant Analysis
1808,1809,"Linear discriminant analysis (LDA) is another demonstration of how generative assumptions simplify the learning process. As in the Naive Bayes classiﬁer we vector of features x = (x1, . . . , xd). But now the generative assumption is as that the conditional probability of X given Y is a Gaussian distribution. Finally, the covariance matrix of the Gaussian distribution is the same for both values the density distribution is given by"
1809,1810,"As we have shown in the previous section, using Bayes’ rule we can write"
1810,1811,P[Y = y]P[X = x|Y = y].
1811,1812,"We can rewrite this as ⟨w, x⟩+ b where tioned generative assumptions, the Bayes optimal classiﬁer is a linear classiﬁer."
1812,1813,"Additionally, one may train the classiﬁer by estimating the parameter µ0, µ1 and Σ from the data, using, for example, the maximum likelihood estimator."
1813,1814,"With those estimators at hand, the values of w and b can be calculated as in"
1814,1815,Latent Variables and the EM Algorithm
1815,1816,"In generative models we assume that the data is generated by sampling from a speciﬁc parametric distribution over our instance space X. Sometimes, it is convenient to express this distribution using latent random variables. A natural example is a mixture of k Gaussian distributions. That is, X = Rd and we assume that each x is generated as follows. First, we choose a random number in"
1816,1817,"P[Y = y] = cy. Second, we choose x on the basis of the value of Y according to a Gaussian distribution"
1817,1818,"Therefore, the density of X can be written as:"
1818,1819,"P[Y = y]P[X = x|Y = y] less, we introduce Y since it helps us describe a simple parametric form of the algorithm, due to Dempster, Laird, and Rubin, is an iterative procedure for global maximum, it often works reasonably well in practice."
1819,1820,"EM is designed for those cases in which, had we known the values of the latent variables Y , then the maximum likelihood optimization problem would have been tractable. More precisely, deﬁne the following function over m × k matrices and"
1820,1821,"If each row of Q deﬁnes a probability over the ith latent variable given X = xi, (x1, y1), . . . , (xm, ym), where the expectation is with respect to the choice of each yi on the basis of the ith row of Q. In the deﬁnition of F, the summation is outside the log, and we assume that this makes the optimization problem with"
1821,1822,"The intuitive idea of EM is that we have a “chicken and egg” problem. On one hand, had we known Q, then by our assumption, the optimization problem of"
1822,1823,• Expectation Step: Set
1823,1824,"By our assumption, it is possible to solve this optimization problem eﬃ- procedure terminates after the improvement in the likelihood value stops being"
1824,1825,EM as an Alternate Maximization Algorithm
1825,1826,"To analyze the EM algorithm, we ﬁrst view it as an alternate maximization algorithm. Deﬁne the following objective function"
1826,1827,The second term is the sum of the entropies of the rows of Q. Let be the set of matrices whose rows deﬁne probabilities over [k]. The following
1827,1828,The EM procedure can be rewritten as:
1828,1829,The preceding lemma immediately implies:
1829,1830,"By the lemma we have simplicity, we assume that Σ1 = Σ2 = · · · = Σk = I, where I is the identity matrix. Specifying the EM algorithm for this case we obtain the following: where Zi is a normalization factor which ensures that P which in our case amounts to maximizing the following expression w.r.t. c ranging terms we obtain:"
1830,1831,"That is, µy is a weighted average of the xi where the weights are according to the probabilities calculated in the E step. To ﬁnd the optimal c we need to be more careful since we must ensure that c is a probability vector. In to a cluster according to the distance ∥xi −µy∥. Then, we update each center µy according to the average of the examples assigned to this cluster. In the EM approach, however, we determine the probability that each example belongs to each cluster. Then, we update the centers on the basis of a weighted sum over"
1831,1832,"The maximum likelihood estimator follows a frequentist approach. This means that we do not know its value. A diﬀerent approach to parameter estimation is called Bayesian reasoning. In the Bayesian approach, our uncertainty about name indicates, the prior distribution should be deﬁned by the learner prior to"
1832,1833,"As an example, let us consider again the drug company which developed a new drug. On the basis of past experience, the statisticians at the drug company believe that whenever a drug has reached the level of clinic experiments on people, it is likely to be eﬀective. They model this prior belief by deﬁning a"
1833,1834,X. This is because we can write the probability over X as a marginal probability where the last equality follows from the deﬁnition of conditional probability. If
1834,1835,"Seemingly, once we know P[X = x], a training set S = (x1, . . . , xm) tells us nothing as we are already experts who know the distribution over a new point"
1835,1836,"X. However, the Bayesian view introduces dependency between S and X. This is since it is just a parameter of the distribution, a new point X and previous points"
1836,1837,S are always independent.
1837,1838,"In the Bayesian framework, since X and S are not independent anymore, what we would like to calculate is the probability of X given S, which by the chain rule can be written as follows:"
1838,1839,The second inequality follows from the assumption that X and S are independent
1839,1840,We therefore obtain the following expression for Bayesian prediction:
1840,1841,"Getting back to our drug company example, we can rewrite P[X = x|S] as"
1841,1842,Solving the preceding integral (using integration by parts) we obtain
1842,1843,"Recall that the prediction according to the maximum likelihood principle in this m . The Bayesian prediction with uniform prior is rather similar to the maximum likelihood prediction, except it adds “pseudoexamples” to the training set, thus biasing the prediction toward the uniform prior."
1843,1844,Maximum A Posteriori
1844,1845,"In many situations, it is diﬃcult to ﬁnd a closed form solution to the integral riori estimator. Once this value is found, we can calculate the probability that"
1845,1846,"X = x given the maximum a posteriori estimator and independently on S. bution over the data. In particular, in parametric density estimation we further ric form and our goal is to estimate the parameters of the model. We have lihood, Bayesian estimation, and maximum a posteriori. We have also described ferent assumptions on the underlying data distribution, in particular, Naive"
1846,1847,Bibliographic Remarks
1847,1848,"The maximum likelihood principle was studied by Ronald Fisher in the beginning of the 20th century. Bayesian statistics follow Bayes’ rule, which is named after the 18th century English mathematician Thomas Bayes."
1848,1849,There are many excellent books on the generative and Bayesian approaches
1849,1850,• Show that the preceding objective is equivalent to the usual empirical error had we added two pseudoexamples to the training set. Conclude that the regularized maximum likelihood estimator would be + is a vector of nonnegative weights. Verify that the M step y νy ν. Show that c⋆is a probability vector.
1850,1851,• Show that the optimization problem is equivalent to the problem:
1851,1852,"• Using properties of the relative entropy, conclude that c⋆is the solution to the optimization problem."
1852,1853,Feature Selection and Generation
1853,1854,"In the beginning of the book, we discussed the abstract model of learning, in which the prior knowledge utilized by the learner is fully encoded by the choice of the hypothesis class. However, there is another modeling choice, which we have so far ignored: How do we represent the instance space X? For example, in the papayas learning problem, we proposed the hypothesis class of rectangles in to represent a papaya as a two dimensional point corresponding to its softness and color. Only after that did we choose the hypothesis class of rectangles as a class of mappings from the plane into the label set. The transformation from the real world object “papaya” into the scalar representing its softness or its color is called a feature function or a feature for short; namely, any measurement of the real world object can be regarded as a feature. If X is a subset of a vector understand that the way we encode real world objects as an instance space X is by itself prior knowledge about the problem. resented as a subset of a vector space, we might still want to change it into a diﬀerent representation and apply a hypothesis class on top of it. That is, we may deﬁne a hypothesis class on X by composing some class H on top of a mapping ψ that maps each original instance in X into some Hilbert space. And, indeed, the choice of ψ is another form of prior knowledge we impose on the"
1854,1855,In this chapter we study several methods for constructing a good feature set.
1855,1856,"We start with the problem of feature selection, in which we have a large pool of features and our goal is to select a small number of features that will be used by our predictor. Next, we discuss feature manipulations and normalization."
1856,1857,"These include simple transformations that we apply on our original features. Such transformations may decrease the sample complexity of our learning algorithm, its bias, or its computational complexity. Last, we discuss several approaches for feature learning. In these methods, we try to automate the process of feature"
1857,1858,Personal use only. Not for distribution. Do not post.
1858,1859,Feature Selection and Generation mate feature learner. Any feature learning algorithm might fail on some problem.
1859,1860,"In other words, the success of each feature learner relies (sometimes implicitly) on some form of prior assumption on the data distribution. Furthermore, the relative quality of features highly depends on the learning algorithm we are later going to apply using these features. This is illustrated in the following example."
1860,1861,"Consider a regression problem in which X = R2, Y = R, and the loss function is the squared loss. Suppose that the underlying distribution is such that an example (x, y) is generated as follows: First, we sample x1 from"
1861,1862,"Finally, the second feature is set to be x2 = y + z, where z is sampled from the feature. Intuitively, the ﬁrst feature should be preferred over the second feature as the target can be perfectly predicted based on the ﬁrst feature alone, while it cannot be perfectly predicted based on the second feature. Indeed, choosing the ﬁrst feature would be the right choice if we are later going to apply polynomial regressor, then we should prefer the second feature over the ﬁrst one, since the optimal linear predictor based on the ﬁrst feature will have a larger risk than the optimal linear predictor based on the second feature. sented as a vector of d features. Our goal is to learn a predictor that only relies on k ≪d features. Predictors that use only a small subset of features require a smaller memory footprint and can be applied faster. Furthermore, in applications such as medical diagnostics, obtaining each possible “feature” (e.g., test result) can be costly; therefore, a predictor that uses only a small number of features is desirable even at the cost of a small degradation in performance, relative to a predictor that uses more features. Finally, constraining the hypothesis class to use a small subset of features can reduce its estimation error and thus prevent"
1862,1863,"Ideally, we could have tried all subsets of k out of d features and choose the subset which leads to the best performing predictor. However, such an exhaustive search is usually computationally intractable. In the following we describe three computationally feasible approaches for feature selection. While these methods cannot guarantee ﬁnding the optimal subset, they often work reasonably well in practice. Some of the methods come with formal guarantees on the quality of the selected subsets under certain assumptions. We do not discuss these guarantees"
1863,1864,"Maybe the simplest approach for feature selection is the ﬁlter method, in which we assess individual features, independently of other features, according to some quality measure. We can then select the k features that achieve the highest score (alternatively, decide also on the number of features to select according to the value of their scores)."
1864,1865,Many quality measures for features have been proposed in the literature. cording to the error rate of a predictor that is trained solely by that feature.
1865,1866,"To illustrate this, consider a linear regression problem with the squared loss."
1866,1867,"Let v = (x1,j, . . . , xm,j) ∈Rm be a vector designating the values of the jth feature on a training set of m examples and let y = (y1, . . . , ym) ∈Rm be the values of the target on the same m examples. The empirical squared loss of an"
1867,1868,"ERM linear predictor that uses only the jth feature would be where the meaning of adding a scalar b to a vector v is adding b to all coordinates of v. To solve this problem, let ¯v = feature and let ¯y = objective we obtain the value"
1868,1869,"Ranking the features according to the minimal loss they achieve is equivalent to ranking them according to the absolute value of the following score (where now a higher score yields a better feature): merator is the empirical estimate of the covariance of the jth feature and the target value, E[(v −E v)(y −E y)], while the denominator is the squared root of with zero empirical risk."
1869,1870,Feature Selection and Generation
1870,1871,"If Pearson’s coeﬃcient equals zero it means that the optimal linear function predicting y. However, this does not mean that v is a bad feature, as it might be the case that together with other features v can perfectly predict y. Indeed, consider a simple example in which the target is generated by the function y = x1 + 2x2. Assume also that x1 is generated from the uniform distribution over"
1871,1872,"2z, where z is also generated i.i.d. from the uniform"
1872,1873,"Therefore, for a large enough training set, the ﬁrst feature is likely to have a"
1873,1874,"Pearson’s correlation coeﬃcient that is close to zero, and hence it will most probably not be selected. However, no function can predict the target value well without knowing the ﬁrst feature."
1874,1875,There are many other score functions that can be used by a ﬁlter method.
1875,1876,Notable examples are estimators of the mutual information or the area under the receiver operating characteristic (ROC) curve. All of these score functions suﬀer from similar problems to the one illustrated previously. We refer the reader
1876,1877,Greedy Selection Approaches
1877,1878,"Greedy selection is another popular approach for feature selection. Unlike ﬁlter methods, greedy selection approaches are coupled with the underlying learning algorithm. The simplest instance of greedy selection is forward greedy selection."
1878,1879,"We start with an empty set of features, and then we gradually add one feature at a time to the set of selected features. Given that our current set of selected features is I, we go over all i /∈I, and apply the learning algorithm on the set choose to add the feature that yields the predictor with the smallest risk (on the training set or on a validation set). This process continues until we either select k features, where k is a predeﬁned budget of allowed features, or achieve an accurate enough predictor."
1879,1880,"To illustrate the forward greedy selection approach, we specify it to the problem of linear regression with be the ith column of X. Given a set I ⊂[d] we denote by XI the matrix whose"
1880,1881,"The forward greedy selection method starts with I0 = ∅. At iteration t, we look for the feature index jt, which is in tion approach for linear regression which is called Orthogonal Matching Pursuit (OMP). The idea is to keep an orthogonal basis of the features aggregated so far. Let Vt be a matrix whose columns form an orthonormal basis of the columns every j, we decompose Xj = vj + uj where vj = Vt−1V ⊤ t−1Xj is the projection"
1881,1882,It follows that we should select the feature
1882,1883,The rest of the update is to set
1883,1884,"The OMP procedure maintains an orthonormal basis of the selected features, where in the preceding description, the orthonormalization property is obtained orthonormal basis in a numerically stable manner."
1884,1885,Feature Selection and Generation
1885,1886,Orthogonal Matching Pursuit (OMP) budget of features T
1886,1887,More Eﬃcient Greedy Selection Criteria
1887,1888,"Let R(w) be the empirical risk of a vector w. At each round of the forward greedy selection method, and for every possible j, we should minimize R(w)"
1888,1889,"A simpler approach is to choose jt that minimizes the weights of the previously chosen coordinates intact and only optimize over the new variable. Therefore, for each j we need to solve an optimization problem over a single variable, which is a much easier task than optimizing over t."
1889,1890,An even simpler approach is to upper bound R(w) using a “simple” function and then choose the feature which leads to the largest decrease in this upper
1890,1891,R(w + ηej) ≤R(w) + η ∂R(w) value into the above yields
1891,1892,This value is minimized if the partial derivative of R(w) with respect to wj is maximal. We can therefore choose jt to be the index of the largest coordinate of the gradient of R(w) at w. selection procedure with respect to the function
1892,1893,Backward Elimination
1893,1894,"Another popular greedy selection approach is backward elimination. Here, we start with the full set of features, and then we gradually remove one feature at a time from the set of features. Given that our current set of selected features is I,"
1894,1895,"Each such application yields a diﬀerent predictor, and we choose to remove the feature i for which the predictor obtained from I \ {i} has the smallest risk (on the training set or on a validation set)."
1895,1896,"Naturally, there are many possible variants of the backward elimination idea."
1896,1897,It is also possible to combine forward and backward greedy steps.
1897,1898,The problem of minimizing the empirical risk subject to a budget of k features
